"source","site_name","entity_name","latitude","longitude","elevation","basin_size","site_type","entity_type","age_BP","ID_SAMPLE","publication","doi","ID_BIOME"
"EMPD2","Vilaboa saltmarsh (Ria de Vigo)","MunozSobrino_a30 (Vilaboa SW5)",42.354783,-8.634633,5,"unknown","terrestrial, bog/fen/swamp","sediment","assumed modern",2268,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","A Ramallosa saltmarsh (Ria de Vigo)","MunozSobrino_a31 (A Ramallosa R1)",42.113567,-8.82445,0,"unknown","unknown","sediment","assumed modern",2269,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","A Ramallosa saltmarsh (Ria de Vigo)","MunozSobrino_a32 (A Ramallosa R2)",42.113517,-8.824533,0,"unknown","unknown","sediment","assumed modern",2270,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","A Ramallosa saltmarsh (Ria de Vigo)","MunozSobrino_a33 (A Ramallosa R3)",42.113383,-8.824517,0,"unknown","unknown","sediment","assumed modern",2271,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","A Ramallosa saltmarsh (Ria de Vigo)","MunozSobrino_a34 (A Ramallosa R4)",42.11435,-8.821,0,"unknown","unknown","sediment","assumed modern",2272,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","A Ramallosa saltmarsh (Ria de Vigo)","MunozSobrino_a35 (A Ramallosa R5)",42.11415,-8.82085,0,"unknown","unknown","sediment","assumed modern",2273,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","Ria de Vigo","MunozSobrino_a36 (San Simón ST26)",42.279779,-8.633931,-18,"unknown","unknown","sediment","assumed modern",2274,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","San Simon Bay (Ria de Vigo)","MunozSobrino_a37 (San Simón ST25)",42.289275,-8.6254114,-7.6,"unknown","unknown","sediment","assumed modern",2275,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","San Simon Bay (Ria de Vigo)","MunozSobrino_a38 (San Simón ST24)",42.313305,-8.623754,-3.4,"unknown","unknown","sediment","assumed modern",2276,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","San Simon Bay (Ria de Vigo)","MunozSobrino_a39 (CORE 8)",42.323093,-8.643089,-2,"unknown","unknown","sediment","assumed modern",2277,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
"EMPD2","San Simon Bay (Ria de Vigo)","MunozSobrino_a40 (Core B5)",42.313305,-8.705556,-1,"unknown","unknown","sediment","assumed modern",2278,"Davis, B.A., Chevalier, M., Sommer, P., Carter, V.A., Finsinger, W., Mauri, A., Phelps, L.N., Zanon, M., Abegglen, R., Åkesson, C.M. and Alba-Sánchez, F., 2020. The Eurasian Modern Pollen Database (EMPD), version 2. Earth System Science Data, 12(4), pp.2423-2445.","10.5194/essd-12-2423-2020",4
