"site_name","entity_name","longitude","latitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Site 62-7 (Riegel 1965)","WLR62-7",-81.1616666666667,25.2833333333333,1,0.8227169231141528,9021.107793666291,24.715363818263814,19.940552363997128,28.62920775649512
"Site SR-1 (Riegel 1965)","WLRSR-1",-81.1566666666667,25.32,1,0.82421049183623,9018.763910871747,24.70894222156643,19.929042018551115,28.626599006492533
"Site 62-10 (Riegel 1965)","WLR62-10",-81.1166666666667,25.3516666666667,1,0.8260859229678706,9017.354652436929,24.705081239553227,19.924047620105135,28.623561644061343
"Site 62-11 (Riegel 1965)","WLR62-11",-81.12,25.32,1,0.8248015275105618,9019.37496922441,24.710616354039473,19.934017401523956,28.625783814558424
"Site 62-12 (Riegel 1965)","WLR62-12",-81.17,25.5033333333333,1,0.8310531597036512,9006.034422970573,24.674066912248147,19.86429043362703,28.614120133482785
"Site 62-13 (Riegel 1965)","WLR62-13",-81.1483333333333,25.455,1,0.8295652817494734,9009.832371329461,24.684472250217706,19.884559612065665,28.617104661583074
"Site 62-14 (Riegel 1965)","WLR62-14",-81.1283333333333,25.4166666666667,1,0.8284192048236478,9012.82500064516,24.692671234644273,19.90066895278822,28.619360452332753
"Site 62-15 (Riegel 1965)","WLR62-15",-81.085,25.3516666666667,1,0.826598335241221,9017.887406347225,24.70654083930747,19.928386708019445,28.622851430089447
"Site 62-17 (Riegel 1965)","WLR62-17",-81.1166666666667,25.395,1,0.827771591454917,9014.490554211365,24.69723439509963,19.909656582889106,28.62060434997881
"Site 62-18 (Riegel 1965)","WLR62-18",-81.1466666666667,25.395,1,0.8272723571760929,9013.930744848605,24.695700670818095,19.905270458040178,28.6212355132076
"Site 62-19 (Riegel 1965)","WLR62-19",-81.19,25.4916666666667,1,0.8302521488363214,9006.39704953641,24.675060409688797,19.865074577967743,28.615310121013827
"Site 62-20 (Riegel 1965)","WLR62-20",-81.1566666666667,25.4433333333333,1,0.8289714829720992,9010.456930834504,24.686183372149323,19.88726792044437,28.618082463179594
"Site 62-21 (Riegel 1965)","WLR62-21",-81.2266666666667,25.5616666666667,1,0.8322637598847114,9000.549391576771,24.659039428977454,19.83366177324677,28.6109171801712
"Site 62-22 (Riegel 1965)","WLR62-22",-81.185,25.57,1,0.833344354478527,9000.997258123549,24.660266460612466,19.838094903312868,28.609634309797816
"Site 64-21 (Riegel 1965)","WLR64-21",-80.9916666666667,25.3633333333333,1,0.8285428182650537,9018.617068394886,24.708539913410643,19.9370126365684,28.61987854908236
"Site 64-33 (Riegel 1965)","WLR64-33",-81.04,25.1433333333333,1,0.7922738902406963,9041.13621082633,24.770236194044735,20.05040555678529,28.663158390740104
"Site 62-23 (Riegel 1965)","WLR62-23",-80.825,25.4716666666667,3,0.8887795789284187,8867.153839208931,24.29357216221625,19.188161321254167,28.431792140063973
"Site 62-24 (Riegel 1965)","WLR62-24",-80.85,25.4716666666667,3,0.8881558094032639,8866.985473127308,24.293110885280296,19.186344344466256,28.432526220443087
"Site 62-34 (Riegel 1965)","WLR62-34",-80.80189,25.32274,1,0.8297251435795823,9023.454395061126,24.721792863181168,19.971523623461348,28.617526079477614
"Site sl.tr 1 (Riegel 1965)","WLRSLTR1",-80.75,25.64,2,0.8707706115030353,8949.73182661009,24.51981322358929,19.612023349045348,28.520710393228715
"Site sl.tr 2 (Riegel 1965)","WLRSLTR2",-80.7297,25.62908,2,0.8707939532185917,8950.053104539724,24.520693437095133,19.614446935122587,28.5203672938326
"Site sl.tr 3 (Riegel 1965)","WLRSLTR3",-80.72,25.62,2,0.8706770249189602,8950.353070037516,24.521515260376756,19.616319308306085,28.520365121351276
"Site sl.tr 4 (Riegel 1965)","WLRSLTR4",-80.69938,25.60953,2,0.8707179595071967,8950.647030057056,24.5223206302933,19.618623246611733,28.519986069310896
"Site 64-4 (Riegel 1965)","WLR64-4",-81.0166666666667,25.6633333333333,3,0.887297895806607,8857.028303858717,24.265830969475935,19.129756514937856,28.430197699890968
"Site TI-1 (Riegel 1965)","WLRTI-1",-81.15,25.4216666666667,1,0.8282477032847438,9012.065426570376,24.690590209781853,19.895712529620898,28.619457685696965
"Site 64-10 (Riegel 1965)","WLR64-10",-80.7583333333333,25.6016666666667,3,0.8926319574733864,8862.286300045855,24.280236438481793,19.166325466326363,28.425511454182306
"Site 64-9 (Riegel 1965)","WLR64-9",-80.97564,25.59533,1,0.8380855533516143,9004.059431570384,24.668655976905164,19.86475213242597,28.60392156462228
"Site 64-7 (Riegel 1965)","WLR64-7",-80.77026,25.65019,3,0.8931735168162277,8860.208019442262,24.274542519019896,19.155413161896643,28.42421837469081
"Site 64-14 (Riegel 1965)","WLR64-14",-80.92988,25.50923,3,0.8867975612239123,8864.761121597696,24.287016771500536,19.17206736714948,28.43350431273255
"Site 64-15 (Riegel 1965)","WLR64-15",-80.8166666666667,25.5183333333333,3,0.8897639666319118,8865.276198969028,24.288427942380896,19.17905881982937,28.42998874958285
"Site 64-16 (Riegel 1965)","WLR64-16E",-80.7916666666667,25.5666666666667,3,0.89120290241995,8863.465346216184,24.28346670196215,19.170940779033568,28.42764448143753
"Site 64-16 (Riegel 1965)","WLR64-16SG",-80.7916666666667,25.5666666666667,3,0.89120290241995,8863.465346216184,24.28346670196215,19.170940779033568,28.42764448143753
"Site 64-16A (Riegel 1965)","WLR64-16AE",-80.7666666666667,25.525,3,0.8911240775662747,8865.345255147859,24.28861713739139,19.181358214026055,28.42829824114779
"Site 64-16A (Riegel 1965)","WLR6416ASG",-80.7666666666667,25.525,3,0.8911240775662747,8865.345255147859,24.28861713739139,19.181358214026055,28.42829824114779
"Site 62-35 (Riegel 1965)","WLR62-35",-80.8028333333333,25.3808333333333,2,0.8597930279055848,8945.576718953313,24.508429366995376,19.58164818906196,28.524010833883597
"Joe River Transect","WLRJR-7",-81.007587,25.216564,1,0.7944972069019007,9038.161475892046,24.762086235320673,20.037408457198154,28.659088876535233
"Joe River Transect","WLRJR-10",-81.007587,25.216564,1,0.7944972069019007,9038.161475892046,24.762086235320673,20.037408457198154,28.659088876535233
"Joe River Transect","WLRJR-1",-81.007587,25.216564,1,0.7944972069019007,9038.161475892046,24.762086235320673,20.037408457198154,28.659088876535233
"Joe River Transect","WLRJR-12",-81.007587,25.216564,1,0.7944972069019007,9038.161475892046,24.762086235320673,20.037408457198154,28.659088876535233
"Joe River Transect","WLRJR-11",-81.007587,25.216564,1,0.7944972069019007,9038.161475892046,24.762086235320673,20.037408457198154,28.659088876535233
