"clean","intermediate","amalgamated","included in"
"Cerastium alpinum type","Cerastium","Caryophyllaceae","EMPDv2, SMPDSv1"
"Cerastium arvense type","Cerastium","Caryophyllaceae","EMPDv2, SMPDSv1"
"Cerastium cerastioides type","Cerastium","Caryophyllaceae","EMPDv2, SMPDSv1"
"Cerastium fontanum type","Cerastium","Caryophyllaceae","EMPDv2, IbMPD, SMPDSv1"
"Cerastium type","Cerastium","Caryophyllaceae","EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Cerastium/Silene","Cerastium/Silene","Caryophyllaceae","neotoma_south_america_pollen"
"Cerastium/Stellaria type","Caryophyllaceae","Caryophyllaceae","EMPDv2, SMPDSv1"
"Ceratiola ericoides","Ceratiola","Ericaceae","neotoma_north_america_pollen"
"Ceratiola ericoides type","Ceratiola","Ericaceae","neotoma_north_america_pollen"
"Ceratonia","Ceratonia","Ceratonia","EMBSeCBIO, EMPDv2, IbMPD, SMPDSv1"
"Ceratonia siliqua","Ceratonia siliqua","Ceratonia","EMPDv2, SMPDSv1"
"Ceratonia type","Ceratonia","Ceratonia","EMPDv2, SMPDSv1"
"Ceratopetalum","Ceratopetalum","Ceratopetalum","australia_pollen"
"Ceratostigma","Ceratostigma","Ceratostigma","CMPD, SMPDSv1"
"Cercidiphyllum","Cercidiphyllum","Cercidiphyllum","Herzschuh, japanese_pollen, SMPDSv1"
"Cercis","Cercis","Cercis","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Cercis siliquastrum","Cercis siliquastrum","Cercis","EMBSeCBIO, EMPDv2, SMPDSv1"
"Cercocarpus","Cercocarpus","Cercocarpus","neotoma_north_america_pollen"
"Cercocarpus ledifolius","Cercocarpus ledifolius","Cercocarpus","neotoma_north_america_pollen"
"Cercocarpus ledifolius type","Cercocarpus ledifolius","Cercocarpus","neotoma_north_america_pollen"
"Cercocarpus type","Cercocarpus","Cercocarpus","neotoma_north_america_pollen"
"Cerinthe","Cerinthe","Boraginaceae","EMPDv2, SMPDSv1"
"Cerinthe minor","Cerinthe","Boraginaceae","EMPDv2, SMPDSv1"
"Cerinthe type","Cerinthe","Boraginaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Ceroxylon","Ceroxylon","Arecaceae","neotoma_south_america_pollen"
"Ceroxylon type","Ceroxylon","Arecaceae","neotoma_south_america_pollen"
"Cespedesia","Cespedesia","Cespedesia","neotoma_south_america_pollen"
"Cespedesia type","Cespedesia","Cespedesia","neotoma_south_america_pollen"
"Cestrum","Cestrum","Solanaceae","neotoma_south_america_pollen, neotropics_pollen"
"Chaenactis","Chaenactis","Asteroideae","neotoma_north_america_pollen, neotropics_pollen"
"Chaerophyllum","Chaerophyllum","Apiaceae","EMPDv2, gaillard_pollen, SMPDSv1"
"Chaerophyllum hirsutum","Chaerophyllum","Apiaceae","EMPDv2, neotoma_extra, SMPDSv1"
"Chaerophyllum hirsutum type","Chaerophyllum","Apiaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Chaerophyllum type","Chaerophyllum","Apiaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Chaetachme","Chaetachme","Chaetachme","Phelps"
"Chaetanthera type","Chaetanthera","Mutisioideae","neotoma_south_america_pollen"
"Chamaecrista","Chamaecrista","Fabaceae (herbs)","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Chamaecrista fasciculata type","Chamaecrista","Fabaceae (herbs)","neotoma_north_america_pollen"
"Chamaecrista type","Chamaecrista","Fabaceae (herbs)","neotoma_north_america_pollen"
"Chamaecyparis","Chamaecyparis","Chamaecyparis","neotoma_north_america_pollen"
"Chamaecyparis thyoides type","Chamaecyparis thyoides","Chamaecyparis","neotoma_north_america_pollen"
"Chamaecyparis type","Chamaecyparis","Chamaecyparis","neotoma_north_america_pollen"
"Chamaedaphne","Chamaedaphne","Chamaedaphne","EMPDv2, IbMPD, neotoma_north_america_pollen, SMPDSv1"
"Chamaedaphne calyculata","Chamaedaphne calyculata","Chamaedaphne","neotoma_north_america_pollen, SMPDSv1"
"Chamaedorea","Chamaedorea","Arecaceae","neotropics_pollen"
"Chamaenerion","Chamaenerion","Onagraceae","EMPDv2, SMPDSv1"
"Chamaenerion angustifolium","Chamaenerion","Onagraceae","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Chamaerhodos type","Chamaerhodos","Rosaceae","EMPDv2, SMPDSv1"
"Chamaerops","Chamaerops","Arecaceae","EMPDv2, SMPDSv1"
"Chamaerops humilis","Chamaerops","Arecaceae","EMPDv2, SMPDSv1"
"Chamissoa","Chamissoa","Amaranthaceae","neotoma_south_america_pollen, neotropics_pollen"
"Chamissoa type","Chamissoa","Amaranthaceae","neotoma_south_america_pollen"
"Chaptalia","Chaptalia","Mutisioideae","neotoma_south_america_pollen, neotropics_pollen"
"Charpentiera","Charpentiera","Charpentiera","neotoma_south_america_pollen"
"Cheilanthes","Cheilanthes","Polypodiales","australia_pollen, EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, SMPDSv1"
"Cheilanthes type","Cheilanthes","Polypodiales","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Cheiloclinium","Cheiloclinium","Cheiloclinium","neotropics_pollen"
"Cheirodendron","Cheirodendron","Cheirodendron","neotoma_north_america_pollen"
"Chelidonium","Chelidonium","Papaveraceae","CMPD, SMPDSv1"
"Chelidonium majus","Chelidonium","Papaveraceae","EMPDv2, SMPDSv1"
"Chelonanthus","Chelonanthus","Gentianaceae","neotoma_south_america_pollen, neotropics_pollen"
"Chelyocarpus","Chelyocarpus","Arecaceae","neotoma_south_america_pollen, neotropics_pollen"
"Chenopodium","Chenopodium","Amaranthaceae","CMPD, EMPDv2, japanese_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, Phelps, SMPDSv1"
"Chenopodium album","Chenopodium","Amaranthaceae","EMPDv2, SMPDSv1"
"Chenopodium album type","Chenopodium","Amaranthaceae","neotoma_north_america_pollen"
"Chenopodium oahuense","Chenopodium","Amaranthaceae","neotoma_north_america_pollen"
"Chenopodium quinoa type","Chenopodium","Amaranthaceae","neotoma_south_america_pollen"
"Chenopodium type","Chenopodium","Amaranthaceae","APD, EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Chimaphila","Chimaphila","Chimaphila","neotoma_north_america_pollen"
"Chimaphila umbellata","Chimaphila umbellata","Chimaphila","EMPDv2, SMPDSv1"
"Chimarrhis","Chimarrhis","Chimarrhis","neotropics_pollen"
"Chimonobambusa","Chimonobambusa","Chimonobambusa","CMPD, IbMPD, SMPDSv1"
"Chiococca","Chiococca","Chiococca","neotoma_south_america_pollen, neotropics_pollen"
"Chionanthus","Chionanthus","Chionanthus","CMPD, SMPDSv1"
"Chione","Chione","Chione","neotropics_pollen"
"Chionochloa type","Chionochloa","Poaceae","australia_pollen"
"Chiropetalum","Chiropetalum","Euphorbiaceae","neotropics_pollen"
"Chloraea","Chloraea","Orchidaceae","neotoma_south_america_pollen"
"Chloranthaceae","Chloranthaceae","Chloranthaceae","CMPD, neotoma_south_america_pollen, SMPDSv1"
"Chloranthus","Chloranthus","Chloranthus","CMPD, IbMPD, SMPDSv1"
"Chlorophora","Chlorophora","Chlorophora","Phelps"
"Chomelia","Chomelia","Chomelia","neotoma_south_america_pollen, neotropics_pollen"
"Chomelia type","Chomelia","Chomelia","neotoma_south_america_pollen"
"Chonemorpha","Chonemorpha","Chonemorpha","CMPD, SMPDSv1"
"Chorizema type","Chorizema","Chorizema","australia_pollen"
"Chrozophora","Chrozophora","Euphorbiaceae","EMPDv2, SMPDSv1"
"Chrysanthemum","Chrysanthemum","Asteroideae","CMPD, IbMPD, neotoma_south_america_pollen, SMPDSv1"
"Chrysanthemum alpinum","Chrysanthemum","Asteroideae","EMPDv2, SMPDSv1"
"Chrysobalanaceae","Chrysobalanaceae","Chrysobalanaceae","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Chrysobalanus","Chrysobalanus","Chrysobalanus","neotoma_south_america_pollen"
"Chrysolepis","Chrysolepis","Chrysolepis","neotoma_north_america_pollen"
"Chrysophyllum","Chrysophyllum","Chrysophyllum","neotoma_south_america_pollen, neotropics_pollen"
"Chrysophyllum marginatum","Chrysophyllum marginatum","Chrysophyllum","neotoma_south_america_pollen"
"Chrysophyllum type","Chrysophyllum","Chrysophyllum","APD, neotoma_south_america_pollen"
"Chrysophyllum viride type","Chrysophyllum viride","Chrysophyllum","neotoma_south_america_pollen"
"Chrysosplenium","Chrysosplenium","Saxifragaceae","CMPD, EMPDv2, gaillard_pollen, neotoma_extra, SMPDSv1"
"Chrysosplenium type","Chrysosplenium","Saxifragaceae","EMPDv2, SMPDSv1"
"Chrysothamnus type","Chrysothamnus","Chrysothamnus","neotoma_north_america_pollen"
"Chukrasia","Chukrasia","Chukrasia","CMPD, SMPDSv1"
"Chuquiraga","Chuquiraga","Chuquiraga","neotoma_south_america_pollen"
"Cibotium","Cibotium","Polypodiales","neotoma_north_america_pollen"
"Cichorioideae","Cichorioideae","Cichorioideae","additional_european_pollen, APD, australia_pollen, dugerdil_pollen, EMBSeCBIO, EMPDv2, IbMPD, japanese_pollen, moroccan_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, neotoma_extra, Phelps, SMPDSv1, tatiana_pollen"
"Cichorium","Cichorium","Cichorioideae","CMPD, EMPDv2, gaillard_pollen, SMPDSv1"
"Cichorium intybus type","Cichorium","Cichorioideae","EMPDv2, SMPDSv1"
"Cichorium type","Cichorium","Cichorioideae","EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Cicuta maculata","Cicuta","Apiaceae","neotoma_north_america_pollen"
"Cimicifuga","Cimicifuga","Cimicifuga","EMPDv2, SMPDSv1"
"Cimicifuga foetida","Cimicifuga foetida","Cimicifuga","EMPDv2, SMPDSv1"
"Cinnamomum","Cinnamomum","Cinnamomum","CMPD, SMPDSv1"
"Circaea","Circaea","Onagraceae","CMPD, EMPDv2, neotoma_north_america_pollen, neotoma_extra, SMPDSv1"
"Circaea alpina","Circaea","Onagraceae","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Circaea type","Circaea","Onagraceae","IbMPD"
"Cirsium","Cirsium","Carduoideae","CMPD, EMBSeCBIO, EMPDv2, gaillard_pollen, IbMPD, neotoma_north_america_pollen, neotoma_extra, SMPDSv1"
"Cirsium type","Cirsium","Carduoideae","australia_pollen, EMBSeCBIO, EMPDv2, IbMPD, neotoma_north_america_pollen, neotoma_extra, SMPDSv1"
"Cirsium/Carduus","Carduoideae","Carduoideae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Cirsium/Carduus type","Carduoideae","Carduoideae","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Cirsium/Gundelia","Carduoideae","Carduoideae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Cissampelos","Cissampelos","Cissampelos","neotoma_south_america_pollen"
"Cissampelos mucronata type","Cissampelos mucronata","Cissampelos","Phelps"
"Cissus","Cissus","Cissus","APD, australia_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps"
"Cissus quadrangularis type","Cissus quadrangularis","Cissus","APD, SMPDSv1"
"Cissus type","Cissus","Cissus","neotoma_south_america_pollen, Phelps"
"Cistaceae","Cistaceae","Cistaceae","EMBSeCBIO, EMPDv2, Herzschuh, IbMPD, neotoma_north_america_pollen, SMPDSv1"
"Cistanthe","Cistanthe","Montiaceae","neotoma_north_america_pollen"
"Cistus","Cistus","Cistus","EMBSeCBIO, EMPDv2, IbMPD, moroccan_pollen, SMPDSv1"
"Cistus albidus type","Cistus albidus","Cistus","EMPDv2, SMPDSv1"
"Cistus crispus type","Cistus crispus","Cistus","EMPDv2, IbMPD, SMPDSv1"
"Cistus incanus","Cistus incanus","Cistus","EMBSeCBIO"
"Cistus incanus type","Cistus incanus","Cistus","EMPDv2, SMPDSv1"
"Cistus ladanifer","Cistus ladanifer","Cistus","EMBSeCBIO, EMPDv2, IbMPD, SMPDSv1"
"Cistus ladanifer type","Cistus ladanifer","Cistus","EMPDv2, IbMPD, SMPDSv1"
"Cistus ladanifer/Cistus populifolius type","Cistus","Cistus","EMPDv2, SMPDSv1"
"Cistus monspeliensis","Cistus monspeliensis","Cistus","EMPDv2, SMPDSv1"
"Cistus monspeliensis type","Cistus monspeliensis","Cistus","EMPDv2, SMPDSv1"
"Cistus populifolius type","Cistus populifolius","Cistus","EMPDv2, SMPDSv1"
"Cistus salviifolius","Cistus salviifolius","Cistus","EMBSeCBIO, EMPDv2, SMPDSv1"
"Cistus salviifolius type","Cistus salviifolius","Cistus","EMPDv2, SMPDSv1"
"Cistus type","Cistus","Cistus","EMPDv2, IbMPD, SMPDSv1"
"Cistus villosus type","Cistus villosus","Cistus","EMPDv2, SMPDSv1"
"Citharexylum","Citharexylum","Citharexylum","neotropics_pollen"
"Citrullus","Citrullus","Citrullus","APD"
"Citrullus type","Citrullus","Citrullus","EMPDv2, SMPDSv1"
"Citrus","Citrus","Citrus","neotoma_north_america_pollen, neotoma_south_america_pollen"
"Citrus maxima","Citrus maxima","Citrus","neotoma_south_america_pollen"
"Citrus x limon","Citrus x limon","Citrus","neotropics_pollen"
"Claoxylon","Claoxylon","Claoxylon","australia_pollen, CMPD, neotoma_north_america_pollen, neotoma_south_america_pollen, SMPDSv1"
"Claoxylon type","Claoxylon","Claoxylon","australia_pollen"
"Clausena","Clausena","Clausena","CMPD, SMPDSv1"
"Claytonia","Claytonia","Montiaceae","australia_pollen, EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Claytonia acutifolia","Claytonia","Montiaceae","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Claytonia type","Claytonia","Montiaceae","neotoma_north_america_pollen"
"Cleidion","Cleidion","Cleidion","neotoma_south_america_pollen, neotropics_pollen"
"Cleistanthus type","Cleistanthus","Cleistanthus","Phelps"
"Clematis","Clematis","Clematis","australia_pollen, CMPD, EMPDv2, Phelps, SMPDSv1"
"Clematis dioica","Clematis","Clematis","neotoma_south_america_pollen"
"Clematis dioica type","Clematis","Clematis","neotoma_south_america_pollen"
"Clematis type","Clematis","Clematis","APD, EMBSeCBIO, EMPDv2, japanese_pollen, neotoma_north_america_pollen, Phelps, SMPDSv1"
"Clematis vitalba type","Clematis vitalba","Clematis","EMPDv2, SMPDSv1"
"Cleomaceae","Cleomaceae","Cleomaceae","CMPD, SMPDSv1"
"Cleome","Cleome","Cleome","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps"
"Cleome gynandra type","Cleome gynandra","Cleome","APD"
"Cleome type","Cleome","Cleome","APD, Phelps, SMPDSv1"
"Clerodendrum","Clerodendrum","Lamiaceae","australia_pollen, CMPD, neotropics_pollen, Phelps, SMPDSv1"
"Clethra","Clethra","Clethra","CMPD, EMPDv2, Herzschuh, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, SMPDSv1"
"Clethra type","Clethra","Clethra","neotoma_north_america_pollen, neotoma_south_america_pollen"
"Clethraceae","Clethraceae","Clethraceae","neotoma_south_america_pollen"
"Cleyera","Cleyera","Cleyera","CMPD, japanese_pollen, SMPDSv1"
"Clibadium","Clibadium","Clibadium","neotoma_south_america_pollen"
"Cliffortia","Cliffortia","Rosaceae","APD, Phelps, SMPDSv1"
"Cliffortia nitidula","Cliffortia","Rosaceae","Phelps"
"Cliffortia nitidula type","Cliffortia","Rosaceae","APD"
"Clitoria","Clitoria","Clitoria","neotropics_pollen"
"Clusia","Clusia","Clusia","neotoma_south_america_pollen, neotropics_pollen"
"Clusia cochlitheca","Clusia cochlitheca","Clusia","neotoma_south_america_pollen"
"Clusia criuva","Clusia criuva","Clusia","neotoma_south_america_pollen"
"Clusiaceae","Clusiaceae","Clusiaceae","australia_pollen, CMPD, EMPDv2, Herzschuh, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, SMPDSv1, southern_hemisphere_pollen"
"Clusiella","Clusiella","Clusiella","neotropics_pollen"
"Clutia","Clutia","Clutia","APD, Phelps, SMPDSv1"
"Cnestis","Cnestis","Cnestis","Phelps"
"Cnestis ferruginea type","Cnestis ferruginea","Cnestis","Phelps"
"Cnestis type","Cnestis","Cnestis","APD"
"Cnidium","Cnidium","Apiaceae","neotoma_north_america_pollen"
"Cnidoscolus","Cnidoscolus","Euphorbiaceae","neotoma_north_america_pollen"
"Coccocypselum","Coccocypselum","Rubiaceae","neotoma_south_america_pollen"
"Coccocypselum/Declieuxia","Coccocypselum/Declieuxia","Rubiaceae","neotoma_south_america_pollen"
"Coccoloba","Coccoloba","Coccoloba","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Coccoloba type","Coccoloba","Coccoloba","neotoma_north_america_pollen, neotoma_south_america_pollen"
"Coccoloba/Triplaris","Coccoloba/Triplaris","Polygonaceae","neotoma_south_america_pollen"
"Cocculus","Cocculus","Cocculus","APD, CMPD, SMPDSv1"
"Cochlospermum","Cochlospermum","Cochlospermum","australia_pollen, neotoma_south_america_pollen"
"Cocos","Cocos","Arecaceae","CMPD, neotoma_south_america_pollen, SMPDSv1"
"Cocos nucifera","Cocos","Arecaceae","neotoma_north_america_pollen, Phelps"
"Codia","Codia","Codia","neotoma_south_america_pollen"
"Codiaeum variegatum","Codiaeum","Codiaeum","neotoma_south_america_pollen"
"Codonocarpus","Codonocarpus","Codonocarpus","australia_pollen"
"Coffea","Coffea","Coffea","APD, Phelps"
"Cola type","Cola","Cola","Phelps"
"Colchicaceae","Colchicaceae","Colchicaceae","SMPDSv1"
"Colchicum","Colchicum","Colchicaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Colchicum autumnale type","Colchicum","Colchicaceae","EMPDv2, SMPDSv1"
"Colchicum filifolium type","Colchicum","Colchicaceae","EMPDv2, IbMPD, SMPDSv1"
"Colchicum montanum","Colchicum","Colchicaceae","IbMPD"
"Colchicum type","Colchicum","Colchicaceae","EMPDv2, IbMPD, SMPDSv1"
"Coleus congestus","Coleus","Lamiaceae","australia_pollen"
"Colignonia","Colignonia","Colignonia","neotoma_south_america_pollen"
"Colignonia type","Colignonia","Colignonia","neotoma_south_america_pollen"
"Collaea","Collaea","Collaea","neotoma_south_america_pollen"
"Colletia","Colletia","Rhamnaceae","neotoma_south_america_pollen"
"Collinsia","Collinsia","Plantaginaceae","neotoma_north_america_pollen"
"Collinsia type","Collinsia","Plantaginaceae","neotoma_north_america_pollen"
"Colobanthus","Colobanthus","Caryophyllaceae","australia_pollen, neotoma_south_america_pollen"
"Colobanthus type","Colobanthus","Caryophyllaceae","australia_pollen"
"Colocasia","Colocasia","Araceae","australia_pollen, neotoma_south_america_pollen"
"Colocasia esculenta","Colocasia","Araceae","australia_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen"
"Colophospermum","Colophospermum","Colophospermum","Phelps"
"Colubrina","Colubrina","Rhamnaceae","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Colubrina type","Colubrina","Rhamnaceae","neotoma_north_america_pollen"
"Colutea","Colutea","Colutea","EMBSeCBIO, EMPDv2, SMPDSv1"
"Colutea arborescens","Colutea arborescens","Colutea","EMPDv2, SMPDSv1"
"Colysis","Colysis","Polypodiales","australia_pollen"
"Comandra","Comandra","Santalaceae","neotoma_north_america_pollen"
"Comandra umbellata","Comandra","Santalaceae","EMBSeCBIO, EMPDv2, IbMPD, SMPDSv1"
"Comastoma tenellum type","Comastoma","Gentianaceae","EMPDv2, SMPDSv1"
"Combretaceae","Combretaceae","Combretaceae","AMSS, APD, australia_pollen, CMPD, Herzschuh, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Combretaceae/Melastomataceae","Combretaceae/Melastomataceae","Combretaceae/Melastomataceae","AMSS, australia_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Combretum","Combretum","Combretum","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps"
"Combretum aculeatum type","Combretum aculeatum","Combretum","APD, Phelps"
"Combretum molle type","Combretum molle","Combretum","APD, Phelps"
"Combretum type","Combretum","Combretum","APD, neotoma_south_america_pollen"
"Comesperma","Comesperma","Comesperma","australia_pollen, southern_hemisphere_pollen"
"Commelina","Commelina","Commelinaceae","CMPD, neotoma_north_america_pollen, neotoma_south_america_pollen, Phelps, SMPDSv1"
"Commelina benghalensis","Commelina","Commelinaceae","Phelps"
"Commelina benghalensis type","Commelina","Commelinaceae","APD, Phelps"
"Commelina forskaolii type","Commelina","Commelinaceae","APD, Phelps"
"Commelina type","Commelina","Commelinaceae","APD"
"Commelinaceae","Commelinaceae","Commelinaceae","APD, australia_pollen, CMPD, Herzschuh, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1"
"Commersonia","Commersonia","Commersonia","australia_pollen"
"Commiphora","Commiphora","Commiphora","APD, neotoma_north_america_pollen, Phelps, SMPDSv1"
"Commiphora africana type","Commiphora africana","Commiphora","APD, SMPDSv1"
"Comocladia","Comocladia","Comocladia","neotropics_pollen"
"Comptonia","Comptonia","Myricaceae","neotoma_north_america_pollen"
"Comptonia peregrina","Comptonia","Myricaceae","neotoma_north_america_pollen"
"Conium","Conium","Apiaceae","neotropics_pollen"
"Conium maculatum","Conium","Apiaceae","EMPDv2, gaillard_pollen, SMPDSv1"
"Conium type","Conium","Apiaceae","EMPDv2, SMPDSv1"
"Connaraceae","Connaraceae","Connaraceae","neotoma_south_america_pollen, neotropics_pollen"
"Connarus","Connarus","Connaraceae","neotoma_north_america_pollen, neotoma_south_america_pollen"
"Connarus type","Connarus","Connaraceae","neotoma_south_america_pollen"
"Conocarpus","Conocarpus","Conocarpus","neotoma_north_america_pollen, neotropics_pollen"
"Conocarpus erectus","Conocarpus erectus","Conocarpus","neotoma_north_america_pollen"
"Conocarpus type","Conocarpus","Conocarpus","neotoma_north_america_pollen"
"Conopodium","Conopodium","Apiaceae","EMPDv2, SMPDSv1"
"Conopodium majus","Conopodium","Apiaceae","EMPDv2, SMPDSv1"
"Conopodium type","Conopodium","Apiaceae","EMPDv2, SMPDSv1"
"Conospermum","Conospermum","Conospermum","australia_pollen"
"Conospermum/Persoonia","Conospermum/Persoonia","Proteaceae","australia_pollen"
"Consolida type","Consolida","Consolida","EMPDv2, SMPDSv1"
"Convallaria","Convallaria","Asparagaceae","SMPDSv1"
"Convallaria type","Convallaria","Asparagaceae","EMBSeCBIO, EMPDv2, IbMPD, SMPDSv1"
"Convolvulaceae","Convolvulaceae","Convolvulaceae","AMSS, APD, australia_pollen, CMPD, EMBSeCBIO, EMPDv2, Herzschuh, IbMPD, moroccan_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1"
"Convolvulus","Convolvulus","Convolvulaceae","CMPD, EMBSeCBIO, EMPDv2, IbMPD, neotoma_north_america_pollen, SMPDSv1"
"Convolvulus arvensis","Convolvulus","Convolvulaceae","EMBSeCBIO, EMPDv2, IbMPD, neotoma_north_america_pollen, SMPDSv1"
"Convolvulus arvensis type","Convolvulus","Convolvulaceae","EMBSeCBIO, EMPDv2, IbMPD, SMPDSv1"
"Convolvulus type","Convolvulus","Convolvulaceae","APD, dugerdil_pollen, neotoma_north_america_pollen, Phelps"
"Copaifera","Copaifera","Copaifera","neotoma_south_america_pollen"
"Copaifera guianensis","Copaifera guianensis","Copaifera","neotoma_south_america_pollen"
"Copaifera type","Copaifera","Copaifera","neotoma_south_america_pollen"
"Copernicia","Copernicia","Arecaceae","neotoma_south_america_pollen"
"Coprosma","Coprosma","Coprosma","australia_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, southern_hemisphere_pollen"
"Coprosma type","Coprosma","Coprosma","EMPDv2, SMPDSv1"
"Coprosma/Opercularia","Coprosma/Opercularia","Rubiaceae","australia_pollen"
"Coprosma/Pomax","Coprosma/Pomax","Rubiaceae","australia_pollen"
"Coptis","Coptis","Ranunculaceae","japanese_pollen, neotoma_north_america_pollen"
"Coptis trifolia","Coptis","Ranunculaceae","neotoma_north_america_pollen"
"Coptosperma graveolens type","Coptosperma graveolens","Coptosperma","Phelps"
"Corchorus","Corchorus","Malvaceae","neotoma_north_america_pollen, neotropics_pollen"
"Corchorus type","Corchorus","Malvaceae","APD, Phelps"
"Cordia","Cordia","Cordia","APD, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps"
"Cordia africana type","Cordia africana","Cordia","APD, SMPDSv1"
"Cordia bicolor type","Cordia bicolor","Cordia","neotoma_south_america_pollen"
"Cordia type","Cordia","Cordia","neotoma_south_america_pollen"
"Cordyline","Cordyline","Cordyline","australia_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, southern_hemisphere_pollen"
"Corema album type","Corema","Convolvulaceae","SMPDSv1"
"Corema album type","Corema","Ericaceae","EMPDv2"
"Coreopsis type","Coreopsis","Asteroideae","neotoma_north_america_pollen"
"Corethrodendron","Corethrodendron","Corethrodendron","CMPD, SMPDSv1"
"Coriaria","Coriaria","Coriaria","australia_pollen, CMPD, EMPDv2, neotoma_south_america_pollen, SMPDSv1, southern_hemisphere_pollen"
"Coriaria myrtifolia","Coriaria myrtifolia","Coriaria","EMPDv2, SMPDSv1"
"Cornaceae","Cornaceae","Cornaceae","CMPD, EMPDv2, Herzschuh, neotoma_north_america_pollen"
"Cornaceae","Cornaceae","Cornus","SMPDSv1"
"Cornulaca","Cornulaca","Cornulaca","Phelps"
"Cornus","Cornus","Cornus","CMPD, EMBSeCBIO, EMPDv2, japanese_pollen, neotoma_north_america_pollen, neotropics_pollen, Phelps, SMPDSv1"
"Cornus alba","Cornus alba","Cornus","tatiana_pollen"
"Cornus canadensis","Cornus canadensis","Cornus","neotoma_north_america_pollen"
"Cornus canadensis type","Cornus canadensis","Cornus","neotoma_north_america_pollen"
"Cornus florida","Cornus florida","Cornus","neotoma_north_america_pollen"
"Cornus mas","Cornus mas","Cornus","EMBSeCBIO, EMPDv2, SMPDSv1"
"Cornus mas type","Cornus mas","Cornus","neotoma_extra, SMPDSv1"
"Cornus mas/Cornus suecica","Cornaceae","Cornaceae","EMPDv2"
"Cornus mas/Cornus suecica","Cornus","Cornus","EMBSeCBIO, SMPDSv1"
"Cornus racemosa","Cornus racemosa","Cornus","neotoma_north_america_pollen"
"Cornus rugosa","Cornus rugosa","Cornus","neotoma_north_america_pollen"
"Cornus rugosa type","Cornus rugosa","Cornus","neotoma_north_america_pollen"
"Cornus sanguinea","Cornus sanguinea","Cornus","EMBSeCBIO, EMPDv2, gaillard_pollen, neotoma_north_america_pollen, neotoma_extra, SMPDSv1"
"Cornus sanguinea type","Cornus sanguinea","Cornus","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Cornus sericea","Cornus sericea","Cornus","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Cornus sericea type","Cornus sericea","Cornus","neotoma_north_america_pollen"
"Cornus suecica","Cornus suecica","Cornus","EMPDv2, SMPDSv1"
"Cornus suecica type","Cornus suecica","Cornus","EMPDv2, SMPDSv1"
"Cornus type","Cornus","Cornus","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Corokia","Corokia","Corokia","australia_pollen"
"Coronilla","Coronilla","Fabaceae (herbs)","EMBSeCBIO, EMPDv2, SMPDSv1"
"Coronilla type","Coronilla","Fabaceae (herbs)","EMPDv2, moroccan_pollen, SMPDSv1"
"Correa","Correa","Correa","australia_pollen, southern_hemisphere_pollen"
"Corrigiola","Corrigiola","Caryophyllaceae","EMPDv2, SMPDSv1"
