"site.id","site.name","latitude","longitude","dataset.id","dataset.type","age.oldest","age.youngest","...9","id","pub.type","year","citation","contact.id","order","contact.name"
16171,"Méjean",43.557222,3.910556,25000,"pollen",NA,NA,NA,1279,"Doctoral Dissertation",1997,"Puertas, O. 1997. Evolution de la végétation depuis le Dryas récent dans la plaine littorale de Montpellier (Hérault, France) à partir de l'analyse pollinique. Dynamique naturelle et anthropisation du milieu. Doctoral dissertation. Université de Franche-Comté, Besançon, France.",NA,NA,NA
16171,"Méjean",43.557222,3.910556,25000,"pollen",NA,NA,NA,1280,"Journal Article",1998,"Puertas, O. 1998. Perception palynologique de la gestion du paysage autour de la cité protohistorique de Lattara (Lattes France). Revue d'Archéométrie 2:23-27.",NA,NA,NA
16171,"Méjean",43.557222,3.910556,24999,"pollen",NA,NA,NA,1279,"Doctoral Dissertation",1997,"Puertas, O. 1997. Evolution de la végétation depuis le Dryas récent dans la plaine littorale de Montpellier (Hérault, France) à partir de l'analyse pollinique. Dynamique naturelle et anthropisation du milieu. Doctoral dissertation. Université de Franche-Comté, Besançon, France.",NA,NA,NA
16171,"Méjean",43.557222,3.910556,24999,"pollen",NA,NA,NA,1280,"Journal Article",1998,"Puertas, O. 1998. Perception palynologique de la gestion du paysage autour de la cité protohistorique de Lattara (Lattes France). Revue d'Archéométrie 2:23-27.",NA,NA,NA
16172,"Bonnier",43.564444,3.905556,25001,"pollen",NA,NA,NA,1279,"Doctoral Dissertation",1997,"Puertas, O. 1997. Evolution de la végétation depuis le Dryas récent dans la plaine littorale de Montpellier (Hérault, France) à partir de l'analyse pollinique. Dynamique naturelle et anthropisation du milieu. Doctoral dissertation. Université de Franche-Comté, Besançon, France.",NA,NA,NA
16172,"Bonnier",43.564444,3.905556,25001,"pollen",NA,NA,NA,1280,"Journal Article",1998,"Puertas, O. 1998. Perception palynologique de la gestion du paysage autour de la cité protohistorique de Lattara (Lattes France). Revue d'Archéométrie 2:23-27.",NA,NA,NA
16173,"Tourbière de Mur de Sologne",47.411667,1.608889,25003,"pollen",13147,2403,NA,10976,"Authored Report",1990,"de Beaulieu, J.L., and J. Guiot. 1990. Mur de Sologne. BC 4B548, CEA, France. Notes: pollen diagram, pages 11-18",NA,NA,NA
16173,"Tourbière de Mur de Sologne",47.411667,1.608889,25003,"pollen",13147,2403,NA,10975,"Journal Article",1970,"Planchais, N. 1970. Tardiglaciaire et Postglaciaire à Mur-de -Sologne (Loir-et-Cher). Pollen et Spores 12(3):381-428.",NA,NA,NA
16174,"Puy des Gouttes",45.828611,2.955,25005,"pollen",261,32,NA,10974,"Journal Article",2011,"Ballut, C., Y. Michelin, and Y. Miras. 2011. Landscape human shaping and spatial mobility of agropastoral practices in the Chaîne des Puys during historical times (Massif Central, France). Quaternary International 30:1-10.",NA,NA,NA
16175,"Chantemerle",45.916667,0.016667,25007,"pollen",8093,3521,NA,10977,"Journal Article",1999,"Fauquette, S., J. Guiot, M. Menut, J.L. de Beaulieu, M. Reille, and P. Guenet. 1999. Vegetation and climate since the last interglacial in the Vienne area (France). Global and Planetary Change 20:1-17.",NA,NA,NA
16176,"Tourbière d'Arinthod",46.396389,5.562778,25008,"pollen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16176,"Tourbière d'Arinthod",46.396389,5.562778,25008,"pollen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
